rank,university,city
1,Massachusetts Institute of Technology,Cambridge
2,Harvard University,Cambridge
3,Stanford University,Stanford ...
5,Cornell University,Ithaca
4,"University of California, Berkeley",Berkeley ...
11,Johns Hopkins University,Baltimore ...
7,Columbia University in the City of New York,New York City
8,University of Michigan,Ann Arbor ...
6,University of Washington,Seattle ...
10,University of Minnesota-Twin Cities,Minneapolis ...
9,Penn State University,University Park ...
13,"University of California, Los Angeles",Los Angeles ...
12,University of Pennsylvania,Philadelphia
14,Yale University,New Haven
17,Purdue University,West Lafayette
15,The University of Texas at Austin,Austin
18,New York University,New York City ...
16,University of Wisconsin-Madison,Madison
22,Carnegie Mellon University,Pittsburgh ...
20,University of Southern California,Los Angeles
19,Princeton University,Princeton
21,University of Chicago,Chicago
28,Arizona State University,Tempe ...
25,University of Illinois at Urbana-Champaign,Champaign ...
23,Michigan State University,East Lansing
24,"University of California, San Diego",San Diego ...
29,"University of California, Irvine",Irvine ...
26,University of Florida,Gainesville
30,"University of California, Davis",Davis ...
31,Duke University,Durham
34,Northwestern University,Evanston ...
33,University of North Carolina at Chapel Hill,Chapel Hill
27,University of Colorado Boulder,Boulder
36,"Rutgers, The State University of New Jersey",New Brunswick ...
35,The University of Arizona,Tucson
32,University of Maryland,College Park
38,Boston University,Boston ...
40,The University of Utah,Salt Lake City
39,Texas A&M University,College Station
37,University of Virginia,Charlottesville ...
41,The Ohio State University,Columbus ...
44,Georgia Institute of Technology,Atlanta
43,University of Pittsburgh,Pittsburgh ...
42,North Carolina State University,Raleigh
45,Indiana University Bloomington,Bloomington
52,Virginia Polytechnic Institute and State University,Blacksburg
48,Oregon State University,Corvallis ...
50,Washington University in St. Louis,St. Louis
47,"University of California, Santa Barbara",Santa Barbara ...
46,California Institute of Technology,Pasadena
60,Florida State University,Tallahassee ...
56,University of Massachusetts Amherst,Amherst
57,Brigham Young University,Provo
51,Tufts University,Medford
49,University of Nebraska-Lincoln,Lincoln
54,Georgetown University,Washington
55,University of Georgia,Athens
59,Iowa State University,Ames
63,University of Rochester,Rochester
61,University of Iowa,Iowa City ...
58,University of South Florida,Tampa ...
70,George Washington University,Washington ...
62,Washington State University,Pullman
65,Brown University,Providence
79,University of Houston,Houston
68,"University at Buffalo, State University of New York",Buffalo ...
67,Dartmouth College,Hanover
66,Vanderbilt University,Nashville
69,University of Delaware,Newark
72,Georgia State University,Atlanta
75,William Marsh Rice University,Houston
77,University of Illinois at Chicago,Chicago ...
76,"University of California, Riverside",Riverside ...
73,"University of California, Santa Cruz",Santa Cruz ...
71,Colorado State University,Fort Collins
78,University of Notre Dame,Notre Dame
53,University of Oregon,Eugene ...
87,University of Central Florida,Orlando ...
80,Emory University,Atlanta
74,"University of California, San Francisco",San Francisco ...
84,University of Connecticut,Storrs ...
82,University of New Mexico,Albuquerque ...
83,Syracuse University,Syracuse
93,Northeastern University,Boston ...
86,University of Kansas,Lawrence ...
64,George Mason University,Fairfax
81,University of Missouri,Columbia
85,University of Kentucky,Lexington
96,Temple University,Philadelphia ...
88,"The University of Tennessee, Knoxville",Knoxville ...
89,Florida International University,Miami
98,Drexel University,Philadelphia
94,San Diego State University,San Diego ...
91,Rochester Institute of Technology,Rochester
90,University of Miami,Coral Gables ...
107,"California State University, Northridge",Northridge
97,The University of Alabama,Tuscaloosa
95,Louisiana State University,Baton Rouge
92,The University of Oklahoma,Norman ...
100,University of Cincinnati,Cincinnati
103,University of South Carolina,Columbia ...
101,Boston College,Chestnut Hill
104,American University,Washington
108,University of Vermont,Burlington
102,University of New Hampshire,Durham ...
106,Clemson University,Clemson
99,Fordham University,The Bronx ...
112,San José State University,San José
121,Wayne State University,Detroit
111,Utah State University,Logan ...
109,The University of Tennessee at Martin,Martin ...
